LAD11NM,LAD11CD,date,new_cases,total_cases,month,year,day
Richmond upon Thames,E09000027,24.3.20,14,77,3,2020,24
Southwark,E09000028,24.3.20,31,283,3,2020,24
Sutton,E09000029,24.3.20,17,95,3,2020,24
Tower Hamlets,E09000030,24.3.20,18,106,3,2020,24
Waltham Forest,E09000031,24.3.20,11,102,3,2020,24
Wandsworth,E09000032,24.3.20,28,240,3,2020,24
Westminster,E09000033,24.3.20,16,195,3,2020,24
Barking and Dagenham,E09000002,25.3.20,11,93,3,2020,25
Barnet,E09000003,25.3.20,46,291,3,2020,25
Bexley,E09000004,25.3.20,19,114,3,2020,25
Brent,E09000005,25.3.20,46,307,3,2020,25
Bromley,E09000006,25.3.20,26,216,3,2020,25
Camden,E09000007,25.3.20,23,146,3,2020,25
Croydon,E09000008,25.3.20,43,278,3,2020,25
Ealing,E09000009,25.3.20,36,242,3,2020,25
Enfield,E09000010,25.3.20,21,178,3,2020,25
Greenwich,E09000011,25.3.20,19,151,3,2020,25
Hackney and City of London,E09000012,25.3.20,16,144,3,2020,25
Hammersmith and Fulham,E09000013,25.3.20,19,131,3,2020,25
Haringey,E09000014,25.3.20,12,140,3,2020,25
Harrow,E09000015,25.3.20,29,220,3,2020,25
Havering,E09000016,25.3.20,13,99,3,2020,25
Hillingdon,E09000017,25.3.20,17,148,3,2020,25
Hounslow,E09000018,25.3.20,17,146,3,2020,25
Islington,E09000019,25.3.20,11,134,3,2020,25
Kensington and Chelsea,E09000020,25.3.20,14,128,3,2020,25
Kingston upon Thames,E09000021,25.3.20,13,77,3,2020,25
Lambeth,E09000022,25.3.20,36,315,3,2020,25
Lewisham,E09000023,25.3.20,24,189,3,2020,25
Merton,E09000024,25.3.20,23,159,3,2020,25
Newham,E09000025,25.3.20,33,156,3,2020,25
Redbridge,E09000026,25.3.20,15,122,3,2020,25
Richmond upon Thames,E09000027,25.3.20,15,92,3,2020,25
Southwark,E09000028,25.3.20,29,312,3,2020,25
Sutton,E09000029,25.3.20,12,107,3,2020,25
Tower Hamlets,E09000030,25.3.20,27,133,3,2020,25
Waltham Forest,E09000031,25.3.20,24,126,3,2020,25
Wandsworth,E09000032,25.3.20,45,285,3,2020,25
Westminster,E09000033,25.3.20,25,220,3,2020,25
Barking and Dagenham,E09000002,26.3.20,7,100,3,2020,26
Barnet,E09000003,26.3.20,55,346,3,2020,26
Bexley,E09000004,26.3.20,11,125,3,2020,26
Brent,E09000005,26.3.20,44,351,3,2020,26
Bromley,E09000006,26.3.20,29,245,3,2020,26
Camden,E09000007,26.3.20,29,175,3,2020,26
Croydon,E09000008,26.3.20,44,322,3,2020,26
Ealing,E09000009,26.3.20,29,271,3,2020,26
Enfield,E09000010,26.3.20,16,194,3,2020,26
Greenwich,E09000011,26.3.20,10,161,3,2020,26
Hackney and City of London,E09000012,26.3.20,24,168,3,2020,26
Hammersmith and Fulham,E09000013,26.3.20,24,155,3,2020,26
Haringey,E09000014,26.3.20,10,150,3,2020,26
Harrow,E09000015,26.3.20,29,249,3,2020,26
Havering,E09000016,26.3.20,11,110,3,2020,26
Hillingdon,E09000017,26.3.20,20,168,3,2020,26
Hounslow,E09000018,26.3.20,15,161,3,2020,26
Islington,E09000019,26.3.20,8,142,3,2020,26
Kensington and Chelsea,E09000020,26.3.20,24,152,3,2020,26
Kingston upon Thames,E09000021,26.3.20,13,90,3,2020,26
Lambeth,E09000022,26.3.20,43,358,3,2020,26
Lewisham,E09000023,26.3.20,26,215,3,2020,26
Merton,E09000024,26.3.20,14,173,3,2020,26
Newham,E09000025,26.3.20,38,194,3,2020,26
Redbridge,E09000026,26.3.20,15,137,3,2020,26
Richmond upon Thames,E09000027,26.3.20,12,104,3,2020,26
Southwark,E09000028,26.3.20,32,344,3,2020,26
Sutton,E09000029,26.3.20,13,120,3,2020,26
Tower Hamlets,E09000030,26.3.20,34,167,3,2020,26
Waltham Forest,E09000031,26.3.20,34,160,3,2020,26
Wandsworth,E09000032,26.3.20,32,317,3,2020,26
Westminster,E09000033,26.3.20,21,241,3,2020,26
Barking and Dagenham,E09000002,27.3.20,12,112,3,2020,27
Barnet,E09000003,27.3.20,54,400,3,2020,27
Bexley,E09000004,27.3.20,19,144,3,2020,27
Brent,E09000005,27.3.20,48,399,3,2020,27
Bromley,E09000006,27.3.20,30,275,3,2020,27
Camden,E09000007,27.3.20,19,194,3,2020,27
Croydon,E09000008,27.3.20,42,364,3,2020,27
Ealing,E09000009,27.3.20,37,308,3,2020,27
Enfield,E09000010,27.3.20,16,210,3,2020,27
Greenwich,E09000011,27.3.20,18,179,3,2020,27
Hackney and City of London,E09000012,27.3.20,17,185,3,2020,27
Hammersmith and Fulham,E09000013,27.3.20,8,163,3,2020,27
Haringey,E09000014,27.3.20,19,169,3,2020,27
Harrow,E09000015,27.3.20,41,290,3,2020,27
Havering,E09000016,27.3.20,10,120,3,2020,27
Hillingdon,E09000017,27.3.20,26,194,3,2020,27
Hounslow,E09000018,27.3.20,27,188,3,2020,27
Islington,E09000019,27.3.20,15,157,3,2020,27
Kensington and Chelsea,E09000020,27.3.20,21,173,3,2020,27
Kingston upon Thames,E09000021,27.3.20,11,101,3,2020,27
Lambeth,E09000022,27.3.20,35,393,3,2020,27
Lewisham,E09000023,27.3.20,34,249,3,2020,27
Merton,E09000024,27.3.20,24,197,3,2020,27
Newham,E09000025,27.3.20,38,232,3,2020,27
Redbridge,E09000026,27.3.20,21,158,3,2020,27
Richmond upon Thames,E09000027,27.3.20,19,123,3,2020,27
Southwark,E09000028,27.3.20,48,392,3,2020,27
Sutton,E09000029,27.3.20,21,141,3,2020,27
Tower Hamlets,E09000030,27.3.20,22,189,3,2020,27
Waltham Forest,E09000031,27.3.20,27,187,3,2020,27
Wandsworth,E09000032,27.3.20,30,347,3,2020,27
Westminster,E09000033,27.3.20,13,254,3,2020,27
Barking and Dagenham,E09000002,28.3.20,11,123,3,2020,28
Barnet,E09000003,28.3.20,34,434,3,2020,28
Bexley,E09000004,28.3.20,10,154,3,2020,28
Brent,E09000005,28.3.20,32,431,3,2020,28
Bromley,E09000006,28.3.20,32,307,3,2020,28
Camden,E09000007,28.3.20,11,205,3,2020,28
Croydon,E09000008,28.3.20,22,386,3,2020,28
Ealing,E09000009,28.3.20,20,328,3,2020,28
Enfield,E09000010,28.3.20,20,230,3,2020,28
Greenwich,E09000011,28.3.20,16,195,3,2020,28
Hackney and City of London,E09000012,28.3.20,12,197,3,2020,28
Hammersmith and Fulham,E09000013,28.3.20,12,175,3,2020,28
Haringey,E09000014,28.3.20,16,185,3,2020,28
Harrow,E09000015,28.3.20,27,317,3,2020,28
Havering,E09000016,28.3.20,6,126,3,2020,28
Hillingdon,E09000017,28.3.20,11,205,3,2020,28
Hounslow,E09000018,28.3.20,8,196,3,2020,28
Islington,E09000019,28.3.20,7,164,3,2020,28
Kensington and Chelsea,E09000020,28.3.20,9,182,3,2020,28
Kingston upon Thames,E09000021,28.3.20,6,107,3,2020,28
Lambeth,E09000022,28.3.20,37,430,3,2020,28
Lewisham,E09000023,28.3.20,21,270,3,2020,28
Merton,E09000024,28.3.20,14,211,3,2020,28
Newham,E09000025,28.3.20,35,267,3,2020,28
Redbridge,E09000026,28.3.20,15,173,3,2020,28
Richmond upon Thames,E09000027,28.3.20,11,134,3,2020,28
Southwark,E09000028,28.3.20,32,424,3,2020,28
Sutton,E09000029,28.3.20,17,158,3,2020,28
Tower Hamlets,E09000030,28.3.20,12,201,3,2020,28
Waltham Forest,E09000031,28.3.20,21,208,3,2020,28
Wandsworth,E09000032,28.3.20,20,367,3,2020,28
Westminster,E09000033,28.3.20,20,274,3,2020,28
Barking and Dagenham,E09000002,29.3.20,11,134,3,2020,29
Barnet,E09000003,29.3.20,30,464,3,2020,29
Bexley,E09000004,29.3.20,14,168,3,2020,29
Brent,E09000005,29.3.20,53,484,3,2020,29
Bromley,E09000006,29.3.20,22,329,3,2020,29
Camden,E09000007,29.3.20,6,211,3,2020,29
Croydon,E09000008,29.3.20,26,412,3,2020,29
Ealing,E09000009,29.3.20,25,353,3,2020,29
Enfield,E09000010,29.3.20,9,239,3,2020,29
Greenwich,E09000011,29.3.20,11,206,3,2020,29
Hackney and City of London,E09000012,29.3.20,15,212,3,2020,29
Hammersmith and Fulham,E09000013,29.3.20,7,182,3,2020,29
Haringey,E09000014,29.3.20,16,201,3,2020,29
Harrow,E09000015,29.3.20,22,339,3,2020,29
Havering,E09000016,29.3.20,10,136,3,2020,29
Hillingdon,E09000017,29.3.20,18,223,3,2020,29
Hounslow,E09000018,29.3.20,15,211,3,2020,29
Islington,E09000019,29.3.20,11,175,3,2020,29
Kensington and Chelsea,E09000020,29.3.20,9,191,3,2020,29
Kingston upon Thames,E09000021,29.3.20,13,120,3,2020,29
Lambeth,E09000022,29.3.20,27,457,3,2020,29
Lewisham,E09000023,29.3.20,26,296,3,2020,29
Merton,E09000024,29.3.20,13,224,3,2020,29
Newham,E09000025,29.3.20,21,288,3,2020,29
Redbridge,E09000026,29.3.20,20,193,3,2020,29
Richmond upon Thames,E09000027,29.3.20,15,149,3,2020,29
Southwark,E09000028,29.3.20,34,458,3,2020,29
Sutton,E09000029,29.3.20,11,169,3,2020,29
Tower Hamlets,E09000030,29.3.20,20,221,3,2020,29
Waltham Forest,E09000031,29.3.20,24,232,3,2020,29
Wandsworth,E09000032,29.3.20,23,390,3,2020,29
Westminster,E09000033,29.3.20,17,291,3,2020,29
Barking and Dagenham,E09000002,30.3.20,11,145,3,2020,30
Barnet,E09000003,30.3.20,42,506,3,2020,30
Bexley,E09000004,30.3.20,15,183,3,2020,30
Brent,E09000005,30.3.20,58,542,3,2020,30
Bromley,E09000006,30.3.20,39,368,3,2020,30
Camden,E09000007,30.3.20,18,229,3,2020,30
Croydon,E09000008,30.3.20,56,468,3,2020,30
Ealing,E09000009,30.3.20,30,383,3,2020,30
Enfield,E09000010,30.3.20,25,264,3,2020,30
Greenwich,E09000011,30.3.20,16,222,3,2020,30
Hackney and City of London,E09000012,30.3.20,20,232,3,2020,30
Hammersmith and Fulham,E09000013,30.3.20,12,194,3,2020,30
Haringey,E09000014,30.3.20,20,221,3,2020,30
Harrow,E09000015,30.3.20,28,367,3,2020,30
Havering,E09000016,30.3.20,17,153,3,2020,30
Hillingdon,E09000017,30.3.20,19,242,3,2020,30
Hounslow,E09000018,30.3.20,24,235,3,2020,30
Islington,E09000019,30.3.20,18,193,3,2020,30
Kensington and Chelsea,E09000020,30.3.20,23,214,3,2020,30
Kingston upon Thames,E09000021,30.3.20,19,139,3,2020,30
Lambeth,E09000022,30.3.20,54,511,3,2020,30
Lewisham,E09000023,30.3.20,28,324,3,2020,30
Merton,E09000024,30.3.20,23,247,3,2020,30
Newham,E09000025,30.3.20,39,327,3,2020,30
Redbridge,E09000026,30.3.20,24,217,3,2020,30
Richmond upon Thames,E09000027,30.3.20,12,161,3,2020,30
Southwark,E09000028,30.3.20,54,512,3,2020,30
Sutton,E09000029,30.3.20,23,192,3,2020,30
Tower Hamlets,E09000030,30.3.20,15,236,3,2020,30
Waltham Forest,E09000031,30.3.20,24,256,3,2020,30
Wandsworth,E09000032,30.3.20,29,419,3,2020,30
Westminster,E09000033,30.3.20,35,326,3,2020,30
Barking and Dagenham,E09000002,31.3.20,19,164,3,2020,31
Barnet,E09000003,31.3.20,48,554,3,2020,31
Bexley,E09000004,31.3.20,21,204,3,2020,31
Brent,E09000005,31.3.20,46,588,3,2020,31
Bromley,E09000006,31.3.20,46,414,3,2020,31
Camden,E09000007,31.3.20,18,247,3,2020,31
Croydon,E09000008,31.3.20,47,515,3,2020,31
Ealing,E09000009,31.3.20,40,423,3,2020,31
Enfield,E09000010,31.3.20,26,290,3,2020,31
Greenwich,E09000011,31.3.20,31,253,3,2020,31
Hackney and City of London,E09000012,31.3.20,32,264,3,2020,31
Hammersmith and Fulham,E09000013,31.3.20,18,212,3,2020,31
Haringey,E09000014,31.3.20,18,239,3,2020,31
Harrow,E09000015,31.3.20,26,393,3,2020,31
Havering,E09000016,31.3.20,27,180,3,2020,31
Hillingdon,E09000017,31.3.20,33,275,3,2020,31
Hounslow,E09000018,31.3.20,22,257,3,2020,31
Islington,E09000019,31.3.20,19,212,3,2020,31
Kensington and Chelsea,E09000020,31.3.20,19,233,3,2020,31
Kingston upon Thames,E09000021,31.3.20,12,151,3,2020,31
Lambeth,E09000022,31.3.20,42,553,3,2020,31
Lewisham,E09000023,31.3.20,38,362,3,2020,31
Merton,E09000024,31.3.20,28,275,3,2020,31
Newham,E09000025,31.3.20,44,371,3,2020,31
Redbridge,E09000026,31.3.20,28,245,3,2020,31
Richmond upon Thames,E09000027,31.3.20,16,177,3,2020,31
Southwark,E09000028,31.3.20,35,547,3,2020,31
Sutton,E09000029,31.3.20,19,211,3,2020,31
Tower Hamlets,E09000030,31.3.20,25,261,3,2020,31
Waltham Forest,E09000031,31.3.20,39,295,3,2020,31
Wandsworth,E09000032,31.3.20,41,460,3,2020,31
Westminster,E09000033,31.3.20,12,338,3,2020,31
Barking and Dagenham,E09000002,1.4.20,22,186,4,2020,1
Barnet,E09000003,1.4.20,37,591,4,2020,1
Bexley,E09000004,1.4.20,30,234,4,2020,1
Brent,E09000005,1.4.20,56,644,4,2020,1
Bromley,E09000006,1.4.20,49,463,4,2020,1
Camden,E09000007,1.4.20,19,266,4,2020,1
Croydon,E09000008,1.4.20,56,571,4,2020,1
Ealing,E09000009,1.4.20,26,449,4,2020,1
Enfield,E09000010,1.4.20,27,317,4,2020,1
Greenwich,E09000011,1.4.20,33,286,4,2020,1
Hackney and City of London,E09000012,1.4.20,34,298,4,2020,1
Hammersmith and Fulham,E09000013,1.4.20,27,239,4,2020,1
Haringey,E09000014,1.4.20,23,262,4,2020,1
Harrow,E09000015,1.4.20,23,416,4,2020,1
Havering,E09000016,1.4.20,30,210,4,2020,1
Hillingdon,E09000017,1.4.20,22,297,4,2020,1
Hounslow,E09000018,1.4.20,32,289,4,2020,1
Islington,E09000019,1.4.20,17,229,4,2020,1
Kensington and Chelsea,E09000020,1.4.20,16,249,4,2020,1
Kingston upon Thames,E09000021,1.4.20,9,160,4,2020,1
Lambeth,E09000022,1.4.20,49,602,4,2020,1
Lewisham,E09000023,1.4.20,37,399,4,2020,1
Merton,E09000024,1.4.20,27,302,4,2020,1
Newham,E09000025,1.4.20,40,411,4,2020,1
Redbridge,E09000026,1.4.20,22,267,4,2020,1
Richmond upon Thames,E09000027,1.4.20,15,192,4,2020,1
Southwark,E09000028,1.4.20,59,606,4,2020,1
Sutton,E09000029,1.4.20,37,248,4,2020,1
Tower Hamlets,E09000030,1.4.20,24,285,4,2020,1
Waltham Forest,E09000031,1.4.20,25,320,4,2020,1
Wandsworth,E09000032,1.4.20,39,499,4,2020,1
Westminster,E09000033,1.4.20,18,356,4,2020,1
Barking and Dagenham,E09000002,2.4.20,26,212,4,2020,2
Barnet,E09000003,2.4.20,65,656,4,2020,2
Bexley,E09000004,2.4.20,27,261,4,2020,2
Brent,E09000005,2.4.20,59,703,4,2020,2
Bromley,E09000006,2.4.20,39,502,4,2020,2
Camden,E09000007,2.4.20,26,292,4,2020,2
Croydon,E09000008,2.4.20,82,653,4,2020,2
Ealing,E09000009,2.4.20,43,492,4,2020,2
Enfield,E09000010,2.4.20,29,346,4,2020,2
Greenwich,E09000011,2.4.20,27,313,4,2020,2
Hackney and City of London,E09000012,2.4.20,38,336,4,2020,2
Hammersmith and Fulham,E09000013,2.4.20,21,260,4,2020,2
Haringey,E09000014,2.4.20,28,290,4,2020,2
Harrow,E09000015,2.4.20,31,447,4,2020,2
Havering,E09000016,2.4.20,32,242,4,2020,2
Hillingdon,E09000017,2.4.20,17,314,4,2020,2
Hounslow,E09000018,2.4.20,33,322,4,2020,2
Islington,E09000019,2.4.20,21,250,4,2020,2
Kensington and Chelsea,E09000020,2.4.20,21,270,4,2020,2
Kingston upon Thames,E09000021,2.4.20,16,176,4,2020,2
Lambeth,E09000022,2.4.20,42,644,4,2020,2
Lewisham,E09000023,2.4.20,55,454,4,2020,2
Merton,E09000024,2.4.20,33,335,4,2020,2
Newham,E09000025,2.4.20,34,445,4,2020,2
Redbridge,E09000026,2.4.20,30,297,4,2020,2
Richmond upon Thames,E09000027,2.4.20,8,200,4,2020,2
Southwark,E09000028,2.4.20,48,654,4,2020,2
Sutton,E09000029,2.4.20,29,277,4,2020,2
Tower Hamlets,E09000030,2.4.20,29,314,4,2020,2
Waltham Forest,E09000031,2.4.20,27,347,4,2020,2
Wandsworth,E09000032,2.4.20,39,538,4,2020,2
Westminster,E09000033,2.4.20,17,373,4,2020,2
Barking and Dagenham,E09000002,3.4.20,18,230,4,2020,3
Barnet,E09000003,3.4.20,37,693,4,2020,3
Bexley,E09000004,3.4.20,31,292,4,2020,3
Brent,E09000005,3.4.20,53,756,4,2020,3
Bromley,E09000006,3.4.20,31,533,4,2020,3
Camden,E09000007,3.4.20,19,311,4,2020,3
Croydon,E09000008,3.4.20,49,702,4,2020,3
Ealing,E09000009,3.4.20,30,522,4,2020,3
Enfield,E09000010,3.4.20,26,372,4,2020,3
Greenwich,E09000011,3.4.20,26,339,4,2020,3
Hackney and City of London,E09000012,3.4.20,28,364,4,2020,3
Hammersmith and Fulham,E09000013,3.4.20,20,280,4,2020,3
Haringey,E09000014,3.4.20,27,317,4,2020,3
Harrow,E09000015,3.4.20,23,470,4,2020,3
Havering,E09000016,3.4.20,37,279,4,2020,3
Hillingdon,E09000017,3.4.20,44,358,4,2020,3
Hounslow,E09000018,3.4.20,25,347,4,2020,3
Islington,E09000019,3.4.20,15,265,4,2020,3
Kensington and Chelsea,E09000020,3.4.20,15,285,4,2020,3
Kingston upon Thames,E09000021,3.4.20,20,196,4,2020,3
Lambeth,E09000022,3.4.20,40,684,4,2020,3
Lewisham,E09000023,3.4.20,51,505,4,2020,3
Merton,E09000024,3.4.20,23,358,4,2020,3
Newham,E09000025,3.4.20,60,505,4,2020,3
Redbridge,E09000026,3.4.20,21,318,4,2020,3
Richmond upon Thames,E09000027,3.4.20,15,215,4,2020,3
Southwark,E09000028,3.4.20,53,707,4,2020,3
Sutton,E09000029,3.4.20,21,298,4,2020,3
Tower Hamlets,E09000030,3.4.20,36,350,4,2020,3
Waltham Forest,E09000031,3.4.20,31,378,4,2020,3
Wandsworth,E09000032,3.4.20,28,566,4,2020,3
Westminster,E09000033,3.4.20,27,400,4,2020,3
Barking and Dagenham,E09000002,4.4.20,17,247,4,2020,4
Barnet,E09000003,4.4.20,38,731,4,2020,4
Bexley,E09000004,4.4.20,28,320,4,2020,4
Brent,E09000005,4.4.20,49,805,4,2020,4
Bromley,E09000006,4.4.20,37,570,4,2020,4
Camden,E09000007,4.4.20,23,334,4,2020,4
Croydon,E09000008,4.4.20,48,750,4,2020,4
Ealing,E09000009,4.4.20,26,548,4,2020,4
Enfield,E09000010,4.4.20,20,392,4,2020,4
Greenwich,E09000011,4.4.20,15,354,4,2020,4
Hackney and City of London,E09000012,4.4.20,26,390,4,2020,4
Hammersmith and Fulham,E09000013,4.4.20,16,296,4,2020,4
Haringey,E09000014,4.4.20,17,334,4,2020,4
Harrow,E09000015,4.4.20,26,496,4,2020,4
Havering,E09000016,4.4.20,21,300,4,2020,4
Hillingdon,E09000017,4.4.20,17,375,4,2020,4
Hounslow,E09000018,4.4.20,17,364,4,2020,4
Islington,E09000019,4.4.20,17,282,4,2020,4
Kensington and Chelsea,E09000020,4.4.20,7,292,4,2020,4
Kingston upon Thames,E09000021,4.4.20,11,207,4,2020,4
Lambeth,E09000022,4.4.20,32,716,4,2020,4
Lewisham,E09000023,4.4.20,29,534,4,2020,4
Merton,E09000024,4.4.20,15,373,4,2020,4
Newham,E09000025,4.4.20,46,551,4,2020,4
Redbridge,E09000026,4.4.20,27,345,4,2020,4
Richmond upon Thames,E09000027,4.4.20,8,223,4,2020,4
Southwark,E09000028,4.4.20,38,745,4,2020,4
Sutton,E09000029,4.4.20,7,305,4,2020,4
Tower Hamlets,E09000030,4.4.20,21,371,4,2020,4
Waltham Forest,E09000031,4.4.20,23,401,4,2020,4
Wandsworth,E09000032,4.4.20,28,594,4,2020,4
Westminster,E09000033,4.4.20,16,416,4,2020,4
Barking and Dagenham,E09000002,5.4.20,19,266,4,2020,5
Barnet,E09000003,5.4.20,40,771,4,2020,5
Bexley,E09000004,5.4.20,20,340,4,2020,5
Brent,E09000005,5.4.20,37,842,4,2020,5
Bromley,E09000006,5.4.20,28,598,4,2020,5
Camden,E09000007,5.4.20,16,350,4,2020,5
Croydon,E09000008,5.4.20,36,786,4,2020,5
Ealing,E09000009,5.4.20,14,562,4,2020,5
Enfield,E09000010,5.4.20,14,406,4,2020,5
Greenwich,E09000011,5.4.20,26,380,4,2020,5
Hackney and City of London,E09000012,5.4.20,22,412,4,2020,5
Hammersmith and Fulham,E09000013,5.4.20,10,306,4,2020,5
Haringey,E09000014,5.4.20,9,343,4,2020,5
Harrow,E09000015,5.4.20,26,522,4,2020,5
Havering,E09000016,5.4.20,23,323,4,2020,5
Hillingdon,E09000017,5.4.20,16,391,4,2020,5
Hounslow,E09000018,5.4.20,19,383,4,2020,5
Islington,E09000019,5.4.20,5,287,4,2020,5
Kensington and Chelsea,E09000020,5.4.20,6,298,4,2020,5
Kingston upon Thames,E09000021,5.4.20,9,216,4,2020,5
Lambeth,E09000022,5.4.20,18,734,4,2020,5
Lewisham,E09000023,5.4.20,32,566,4,2020,5
Merton,E09000024,5.4.20,17,390,4,2020,5
Newham,E09000025,5.4.20,26,577,4,2020,5
Redbridge,E09000026,5.4.20,23,368,4,2020,5
Richmond upon Thames,E09000027,5.4.20,7,230,4,2020,5
Southwark,E09000028,5.4.20,26,771,4,2020,5
Sutton,E09000029,5.4.20,10,315,4,2020,5
Tower Hamlets,E09000030,5.4.20,19,390,4,2020,5
Waltham Forest,E09000031,5.4.20,27,428,4,2020,5
Wandsworth,E09000032,5.4.20,18,612,4,2020,5
Westminster,E09000033,5.4.20,17,433,4,2020,5
Barking and Dagenham,E09000002,6.4.20,12,278,4,2020,6
Barnet,E09000003,6.4.20,38,809,4,2020,6
Bexley,E09000004,6.4.20,24,364,4,2020,6
Brent,E09000005,6.4.20,37,879,4,2020,6
Bromley,E09000006,6.4.20,41,639,4,2020,6
Camden,E09000007,6.4.20,17,367,4,2020,6
Croydon,E09000008,6.4.20,42,828,4,2020,6
Ealing,E09000009,6.4.20,30,592,4,2020,6
Enfield,E09000010,6.4.20,34,440,4,2020,6
Greenwich,E09000011,6.4.20,37,417,4,2020,6
Hackney and City of London,E09000012,6.4.20,25,437,4,2020,6
Hammersmith and Fulham,E09000013,6.4.20,16,322,4,2020,6
Haringey,E09000014,6.4.20,14,357,4,2020,6
Harrow,E09000015,6.4.20,25,547,4,2020,6
Havering,E09000016,6.4.20,29,352,4,2020,6
Hillingdon,E09000017,6.4.20,23,414,4,2020,6
Hounslow,E09000018,6.4.20,18,401,4,2020,6
Islington,E09000019,6.4.20,8,295,4,2020,6
Kensington and Chelsea,E09000020,6.4.20,11,309,4,2020,6
Kingston upon Thames,E09000021,6.4.20,13,229,4,2020,6
Lambeth,E09000022,6.4.20,42,776,4,2020,6
Lewisham,E09000023,6.4.20,46,612,4,2020,6
Merton,E09000024,6.4.20,37,427,4,2020,6
Newham,E09000025,6.4.20,44,621,4,2020,6
Redbridge,E09000026,6.4.20,26,394,4,2020,6
Richmond upon Thames,E09000027,6.4.20,11,241,4,2020,6
Southwark,E09000028,6.4.20,39,810,4,2020,6
Sutton,E09000029,6.4.20,24,339,4,2020,6
Tower Hamlets,E09000030,6.4.20,26,416,4,2020,6
Waltham Forest,E09000031,6.4.20,26,454,4,2020,6
Wandsworth,E09000032,6.4.20,34,646,4,2020,6
Westminster,E09000033,6.4.20,11,444,4,2020,6
Barking and Dagenham,E09000002,7.4.20,22,300,4,2020,7
Barnet,E09000003,7.4.20,45,854,4,2020,7
Bexley,E09000004,7.4.20,48,412,4,2020,7
Brent,E09000005,7.4.20,28,907,4,2020,7
Bromley,E09000006,7.4.20,38,677,4,2020,7
Camden,E09000007,7.4.20,20,387,4,2020,7
Croydon,E09000008,7.4.20,46,874,4,2020,7
Ealing,E09000009,7.4.20,44,636,4,2020,7
Enfield,E09000010,7.4.20,32,472,4,2020,7
Greenwich,E09000011,7.4.20,20,437,4,2020,7
Hackney and City of London,E09000012,7.4.20,29,466,4,2020,7
Hammersmith and Fulham,E09000013,7.4.20,22,344,4,2020,7
Haringey,E09000014,7.4.20,30,387,4,2020,7
Harrow,E09000015,7.4.20,29,576,4,2020,7
Havering,E09000016,7.4.20,37,389,4,2020,7
Hillingdon,E09000017,7.4.20,27,441,4,2020,7
Hounslow,E09000018,7.4.20,24,425,4,2020,7
Islington,E09000019,7.4.20,14,309,4,2020,7
Kensington and Chelsea,E09000020,7.4.20,19,328,4,2020,7
Kingston upon Thames,E09000021,7.4.20,18,247,4,2020,7
Lambeth,E09000022,7.4.20,40,816,4,2020,7
Lewisham,E09000023,7.4.20,30,642,4,2020,7
Merton,E09000024,7.4.20,17,444,4,2020,7
Newham,E09000025,7.4.20,44,665,4,2020,7
Redbridge,E09000026,7.4.20,54,448,4,2020,7
Richmond upon Thames,E09000027,7.4.20,14,255,4,2020,7
Southwark,E09000028,7.4.20,51,861,4,2020,7
Sutton,E09000029,7.4.20,29,368,4,2020,7
Tower Hamlets,E09000030,7.4.20,19,435,4,2020,7
Waltham Forest,E09000031,7.4.20,22,476,4,2020,7
Wandsworth,E09000032,7.4.20,26,672,4,2020,7
Westminster,E09000033,7.4.20,15,459,4,2020,7
Barking and Dagenham,E09000002,8.4.20,22,322,4,2020,8
Barnet,E09000003,8.4.20,49,903,4,2020,8
Bexley,E09000004,8.4.20,16,428,4,2020,8
Brent,E09000005,8.4.20,43,950,4,2020,8
Bromley,E09000006,8.4.20,46,723,4,2020,8
Camden,E09000007,8.4.20,22,409,4,2020,8
Croydon,E09000008,8.4.20,59,933,4,2020,8
Ealing,E09000009,8.4.20,36,672,4,2020,8
Enfield,E09000010,8.4.20,31,503,4,2020,8
Greenwich,E09000011,8.4.20,26,463,4,2020,8
Hackney and City of London,E09000012,8.4.20,19,485,4,2020,8
Hammersmith and Fulham,E09000013,8.4.20,19,363,4,2020,8
Haringey,E09000014,8.4.20,15,402,4,2020,8
Harrow,E09000015,8.4.20,25,601,4,2020,8
Havering,E09000016,8.4.20,34,423,4,2020,8
Hillingdon,E09000017,8.4.20,18,459,4,2020,8
Hounslow,E09000018,8.4.20,23,448,4,2020,8
Islington,E09000019,8.4.20,12,321,4,2020,8
Kensington and Chelsea,E09000020,8.4.20,20,348,4,2020,8
Kingston upon Thames,E09000021,8.4.20,21,268,4,2020,8
Lambeth,E09000022,8.4.20,31,847,4,2020,8
Lewisham,E09000023,8.4.20,29,671,4,2020,8
Merton,E09000024,8.4.20,16,460,4,2020,8
Newham,E09000025,8.4.20,38,703,4,2020,8
Redbridge,E09000026,8.4.20,34,482,4,2020,8
Richmond upon Thames,E09000027,8.4.20,9,264,4,2020,8
Southwark,E09000028,8.4.20,43,904,4,2020,8
Sutton,E09000029,8.4.20,29,397,4,2020,8
Tower Hamlets,E09000030,8.4.20,25,460,4,2020,8
Waltham Forest,E09000031,8.4.20,23,499,4,2020,8
Wandsworth,E09000032,8.4.20,26,698,4,2020,8
Westminster,E09000033,8.4.20,14,473,4,2020,8
Barking and Dagenham,E09000002,9.4.20,15,337,4,2020,9
Barnet,E09000003,9.4.20,34,937,4,2020,9
Bexley,E09000004,9.4.20,18,446,4,2020,9
Brent,E09000005,9.4.20,29,979,4,2020,9
Bromley,E09000006,9.4.20,33,756,4,2020,9
Camden,E09000007,9.4.20,17,426,4,2020,9
